name,description,manufacturer,price,cluster_label,is_outlier
Linksys EtherFast EZXS88W Ethernet Switch - EZXS88W,Linksys EtherFast 8-Port 10/100 Switch (New/Workgroup),LINKSYS,,0,False
Linksys EtherFast EZXS55W Ethernet Switch,5 x 10/100Base-TX LAN,LINKSYS,,0,False
Netgear ProSafe FS105 Ethernet Switch - FS105NA,NETGEAR FS105 Prosafe 5 Port 10/100 Desktop Switch,Netgear,,0,False
Belkin Pro Series High Integrity VGA/SVGA Monitor Extension Cable - F3H982-10,1 x HD-15 - 1 x HD-15 - 10ft - Beige,Belkin,,1,False
Netgear ProSafe JFS516 Ethernet Switch,Netgear ProSafe 16 Port 10/100 Rackmount Switch- JFS516NA,Netgear,,0,False
LaCie Pocket Floppy Disk Drive - 706018,LaCie Pocket USB Floppy 1.44 MB,LACIE,,2,False
Canon KP 36IP Print Cartridge / Paper Kit - 7737A001,36 Page 4' x 6',Canon,$9.99,-1,True
Kensington Orbit Optical Trackball - USB w/PS2 Adapter - 64327,"Optical - USB, PS/2",Kensington,,3,False
Linksys EtherFast EF4116 Ethernet Switch,16 x 10/100Base-TX LAN,LINKSYS,,0,False
Linksys EtherFast EF4124 Ethernet Switch,24 x 10/100Base-TX LAN,LINKSYS,$64.99,-1,True
Linksys Instant Gigabit EG005W Ethernet Switch,Linksys EG005W Gigabit 5-Port Workgroup Switch,LINKSYS,,0,False
Linksys G Wireless-G WET54G Wireless Bridge,54Mbps - 1 x 10/100Base-TX,LINKSYS,,0,False
Tripp Lite PowerVerter 375-Watt Ultra-Compact Inverter - PV375,Input Voltage:12V DC - Output Voltage:120V AC - 375W Pulse-width Modulated Sine Wave,Tripp Lite,,4,False
Netgear ProSafe GS105 Ethernet Switch - GS105NA,NETGEAR ProSafe 5 Port Gigabit Desktop Switch,Netgear,,0,False
Belkin Monitor Cable - F3H982-25,1 x HD-15 - 1 x HD-15 - 25ft - Black,Belkin,$15.98,-1,True
Belkin AC Anywhere 300W Power Inverter - F5C400-300W,Input Voltage:12V DC - Output Voltage:110V AC - 300W Stepped Sine Wave,Belkin,,1,False
Linksys Wireless-G Range Expander Wireless Bridge - WRE54G,54Mbps,LINKSYS,,0,False
Sony VAIO Notebook and AC Adapter Case - VGPAMC2,VAIO NEOPRENE NOTEBOOK & AC ADAPTER CASE UP TO 17 IN LCD,Sony,,5,False
D-Link Express EtherNetwork High-Speed DOCSIS 2.0 Cable Modem - DCM-202,D-Link Broadband Cable Modem,D-Link,,-1,True
Sony Notebook and AC Adapter Cases - VGPAMC3,Clam Shell - Neoprene,Sony,$12.99,-1,True
Panasonic Black Toner Cartridge - KX-FA83,"Panasonic Toner Cartridge for the KX-FL511, KX-FL541, KX-FL611 and KX-FLM651 Series",Panasonic,,5,False
Logitech Z-2300 Multimedia Speaker System - 970118-0403,2.1-channel,Logitech,,6,False
Sony High Definition Mini DV Cassette - DSL-190-B,Sony DVM-63 HD High-Definition miniDV Videocassette,Sony,,5,False
Netgear ProSafe WG102 Wireless Access Point 802.11g - WG102NA,NETGEAR Prosafe 802.11g Wireless Access Point,Netgear,,0,False
Netgear RangeMax WPN802 Wireless Access Point - WPN802NA,108Mbps,Netgear,,0,False
Netgear ProSafe FS726TP 24 Port 10/100 Smart Switch - FS726TPNA,"24 x 10/100Base-TX LAN, 2 x 10/100/1000Base-T",Netgear,,0,False
Sennheiser Nickel metal hydride Battery for Headsets - BA-151,Nickel-Metal Hydride (NiMH) - 2.4V DC - Headset Battery,Sennheiser,$14.34,-1,True
Sony MiniDV Head Cleaner - DVM12CLD,Head Cleaner,Sony,$7.95,-1,True
Sony SB-V40S A/V Selector - SBV40S,"VCR, Camcorder, AV Receiver, Video Game Console, TV, Laser Disc Player, DVD Player Compatible - 4 x S-Video In, 4 x Composite Video In, 4 x Stereo Audio Line In, 1 x S-Video Out, 1 x Composite Video Out, 1 x Stereo A",Sony,,5,False
Panasonic KX-TS108W Corded Phone,1 x Phone Line(s) - White,Panasonic,,5,False
Panasonic KX-TS208W Corded Phone,2 x Phone Line(s) - Headset - White,Panasonic,,5,False
Garmin Canvas Deluxe Carry Case - 010-10231-01,Top Loading - Handle - Nylon - Black,Garmin,$17.45,-1,True
Sony h.ear Stereo Earphones - MDRJ10/BLUE,- Blue,Sony,$12.38,-1,True
OmniMount Universal Wall Speaker Mounting Kit - 20.0 WALL-B,Stainless Steel - 20 lb,"OMNIMOUNT SYSTEMS, INC",$24.34,7,False
OmniMount Stainless Steel Speaker Mount - 20.0 WALL-W,Stainless Steel - 20 lb,"OMNIMOUNT SYSTEMS, INC",,7,False
Sanus Euro Foundation Series III Speaker Stand - EFSATSIII,Steel - Silver,Sanus,,8,False
Sanus Euro Foundation Series III Speaker Stand - EFSATBKIII,Steel - Black,Sanus,,8,False
Panasonic KX-TCA86 Headset,Over-the-head,Panasonic,$11.03,9,False
Sony VCT-R640 Tripod - VCTR640,Floor Standing Tripod - 21.62' to 56.75' Height - 6.61 lb Load Capacity - Black,Sony,,5,False
Sanus Flat Panel TV Wall Mount - VMF,Steel - 50 lb,Sanus,,8,False
Sanus Speaker Mount - WMS3B BLACK,Plastic - 8 lb,Sanus,,8,False
Sanus Wall/Ceiling Speaker Mount - WMS3S SILVER,Plastic - 8 lb,Sanus,,8,False
Sony Mini DVD-R Media - 3DMR30L1H,1.4GB - 3 Pack,Sony,$6.99,-1,True
Panasonic KX-TS3282B Corded Phone,2 x Phone Line(s) - Headset - Black,Panasonic,,5,False
Sanus Flat Panel TV Wall Mount - VMPL50-B,Steel - 130 lb,Sanus,,8,False
Sanus Television Turntable - TV/LCDS,150 lb,Sanus,,8,False
Panasonic KX-TCA92 Headset,Over-the-head,Panasonic,$18.42,9,False
Panasonic KX-TSC14B Corded Telephone,2 x Phone Line(s) - Headset - Black,Panasonic,,5,False
Sanus Flat Panel TV Wall Mount - VM1B,Aluminum - 50 lb,Sanus,$69.99,-1,True
Canon NB-2LH Battery Pack - 9612A001,Lithium Ion (Li-Ion) - Photo Battery,Canon,,5,False
OmniMount TV Top Shelf Mount,OmniMount CCH1B Set-Top Center-Channel Shelf,"OMNIMOUNT SYSTEMS, INC",$21.49,-1,True
Canon NB-4L Rechargeable Camera Battery - 9763A001,Canon NB-4L Lithium Ion Battery,Canon,$36.89,-1,True
Panasonic 3x DVD-RAM Media,Panasonic LM-AF120LU5 Rewritable DVD-RAM Disc without Cartridge,Panasonic,,5,False
Canon CB-2LV Battery Charger - 9764A001,for NB-4L,Canon,,5,False
Canon EF-S 17-85MM f/4-5.6 IS USM Standard Zoom Lens,Canon 9517A002 EF-S 17-85mm f4-5.6 IS USM Standard Zoom Lens with Optical Image Stabilizer,Canon,$515.00,-1,True
Sennheiser RS 140 Wireless RF Headphone - RS-140,"- Black, Silver",Sennheiser,$144.97,-1,True
Sony Fontopia Earbuds - MDREX81LPB,Sony MDR-EX81LP/B Stereo Earphones - Black,Sony,$34.88,-1,True
Sanus VisionMount Flat Panel TV Wall Mount - VMPL3B,Steel - 280 lb,Sanus,$144.05,-1,True
Sanus Flat Panel TV Wall Mount - VM400S,"Steel, Aluminum - 80 lb",Sanus,,8,False
Sanus Under Cabinet LCD TV Mount - VMUC1S,15 lb,Sanus,,8,False
Sanus Flat Panel TV Wall Mount - VM400B,"Steel, Aluminum - 80 lb",Sanus,,8,False
Sanus Universal Projector Ceiling Mount - VMPR1B,50 lb,Sanus,,8,False
Plantronics Voyager 510 Bluetooth Earset,Plantronics Voyager510 Bluetooth Headset,Plantronics Bluetooth,,-1,True
OmniMount TV Top Shelf Mount - CCH1P,Steel - 30 lb,"OMNIMOUNT SYSTEMS, INC",,7,False
Sony LCS Soft Carrying Case - LCSCST,Sony LCS-CST Soft Carrying Case for Ultra-Compact Digital Cameras,Sony,$9.95,-1,True
Canon CLI-8M Ink Cartridge - 0622B002,Magenta,Canon,$10.35,-1,True
"Canon Ink Cartridge For PIXMA iP1600, iP6210D and iP6220D Printers - 0617B002",Color,Canon,$19.11,5,False
"Canon Ink Cartridge For PIXMA iP4200, iP5200, iP5200R and iP6600D Printers - 0620B002",Black,Canon,$13.99,5,False
Canon CLI-8C Ink Cartridge - 0621B002,Cyan,Canon,$13.99,5,False
Canon CLI-8Y Ink Cartridge - 0623B002,Yellow,Canon,$13.99,5,False
Canon Black Ink Cartridge - 0615B002,Black,Canon,,5,False
