brand,model,network_technology,2G_bands,3G_bands,4G_bands,network_speed,GPRS,EDGE,announced,status,dimentions,weight_g,weight_oz,SIM,display_type,display_resolution,display_size,OS,CPU,Chipset,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,loud_speaker,audio_jack,WLAN,bluetooth,GPS,NFC,radio,USB,sensors,battery,colors,approx_price_EUR,img_url
Motorola,U9,GSM,GSM 850 / 900 / 1800 / 1900 ,None,None,None,Class 12,Class 12,2007  October. Released 2008  February,Discontinued,90 x 48.6 x 16.4 mm| 57 cc (3.54 x 1.91 x 0.65 in),87.5,3.07,Mini-SIM,TFT  256K colors,2.0 inches (~28.3% screen-to-body ratio),240 x 320 pixels (~200 ppi pixel density),Linux / Java-based MOTOMAGX,None,None,None,microSD (dedicated slot),25 MB,None,2 MP,No,None,No,No,2.0| A2DP,None,None,None,2,None,None,Pink| Purple,70.0,http://cdn2.gsmarena.com/vv/bigpic/motorola-u9.gif
Motorola,V501,None,GSM 850 / 900 / 1800 / 1900 ,None,None,None,None,None,2004  1Q,Discontinued,89 x 46 x 23.6 mm| 82 cc (3.50 x 1.81 x 0.93 in),113,3.99,Mini-SIM,TFT  65K colors,None,176 x 220 pixels| 8 lines,None,None,None,None,None,5 MB,None,VGA,No,None,No,No,1.1,No,None,No,Yes,None,Removable Li-Ion battery,Silver,None,http://cdn2.gsmarena.com/vv/bigpic/mov501.gif
Meizu,MX5e,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2, HSDPA, LTE,HSPA  LTE Cat4 150/50 Mbps,Yes,Yes,2016  April,Available. Released 2016  April,149.9 x 74.7 x 7.6 mm (5.90 x 2.94 x 0.30 in),149,5.26,Dual SIM (Nano-SIM| dual stand-by),AMOLED capacitive touchscreen  16M colors,5.5 inches (~74.5% screen-to-body ratio),1080 x 1920 pixels (~401 ppi pixel density),Android 5.0.1 (Lollipop),None,Mediatek MT6795 Helio X10,PowerVR G6200,No,16/32 GB,3 GB RAM,16 MP| autofocus| dual-LED (dual tone) flash,5 MP,Yes,Yes,Wi-Fi 802.11 a/b/g/n/ac| dual-band| WiFi Direct| hotspot,4.1| A2DP| LE,Yes with A-GPS GLONASS BDS,None,No,microUSB 2.0| USB On-The-Go,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass,Non-removable Li-Ion 3150 mAh battery,Gray| Gold| Silver| Black/Silver,190.0,http://cdn2.gsmarena.com/vv/bigpic/meizu-mx5.jpg
alcatel,OT-S120,GSM,GSM 900 / 1800 ,None,None,None,No,No,2008  February. Released 2008  April,Discontinued,98 x 44 x 12.3 mm (3.86 x 1.73 x 0.48 in),None,None,Mini-SIM,STN  monochrome graphics,1.3 inches (~11.7% screen-to-body ratio),96 x 64 pixels (~89 ppi pixel density),None,None,None,None,No,None,None,None,None,Yes,No,No,No,No,None,No,Yes,None,Removable Li-Ion 670 mAh battery,Black| Black&White,None,None
Motorola,EX212,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,None,None,None,None,Class 12,2011  August,Available. Released 2011  Q3,106 x 53 x 13.9 mm (4.17 x 2.09 x 0.55 in),105,3.7,Dual SIM (Mini-SIM| dual stand-by),None,2.4 inches (~31.8% screen-to-body ratio),240 x 320 pixels (~167 ppi pixel density),None,None,None,None,microSD  up to 16 GB (dedicated slot),5 MB,None,2 MP,None,Yes,Yes,No,2.1| A2DP| EDR,No,None,Stereo FM radio,microUSB 2.0,None,Removable Li-Ion 750 mAh battery,Various,None,http://cdn2.gsmarena.com/vv/bigpic/motorola-ex212.jpg
Motorola,None,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 ,None,HSPA 3.6/0.384 Mbps,Class 10,Class 10,2008  April. Released 2008  April,Discontinued,114 x 53 x 14 mm (4.49 x 2.09 x 0.55 in),139,4.9,Mini-SIM,TFT  256K colors,2.4 inches (~29.5% screen-to-body ratio),240 x 320 pixels (~167 ppi pixel density),None,None,None,None,microSD (dedicated slot),None,None,2 MP,None,Yes,None,No,2.0| A2DP,Yes,None,None,miniUSB 2.0,None,None,Burgundy Red,90.0,http://cdn2.gsmarena.com/vv/bigpic/motorola-z9.jpg
NEC,N331i,GSM,None,None,None,None,Class 10,No,2004  March,Discontinued,101 x 48 x 24 mm| 90 cc (3.98 x 1.89 x 0.94 in),110,3.88,Mini-SIM,TFT  65K colors,None,128 x 160 pixels,None,None,None,None,None,None,None,None,No,No,No,No,No,No,None,No,None,None,Removable Li-Ion 700 mAh battery,None,None,http://cdn2.gsmarena.com/vv/bigpic/nen331i.gif
Icemobile,Gprime Extreme,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 2100 ,None,None,Class 12,Class 12,2013,Available. Released 2013,143 x 72.8 x 10 mm (5.63 x 2.87 x 0.39 in),125,4.41,Dual SIM (Mini-SIM),TFT capacitive touchscreen,5.0 inches (~66.2% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 4.2.1 (Jelly Bean),Quad-core 1.2 GHz Cortex-A7,Mediatek MT6589,PowerVR SGX544,microSD  up to 32 GB (dedicated slot),None,None,8 MP| autofocus| LED flash,2 MP,No,Yes,Yes| hotspot,None,Yes with A-GPS,None,FM radio,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 1600 mAh battery,Black| White,None,http://cdn2.gsmarena.com/vv/bigpic/icemobile-gprime-extreme.jpg
None,Blade X9,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 1900 / 2100 ,None,HSPA  LTE,Yes,Yes,2015  November,Available. Released 2015  December,155.3 x 77.2 x 8.6 mm (6.11 x 3.04 x 0.34 in),160,5.64,None,IPS LCD capacitive touchscreen  16M colors,5.5 inches (~69.6% screen-to-body ratio),1080 x 1920 pixels (~401 ppi pixel density),Android 5.1 (Lollipop),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Qualcomm MSM8939 Snapdragon 615,Adreno 405,microSD  up to 256 GB (uses SIM 2 slot),16 GB,2 GB RAM,13 MP| f/2.2| autofocus| LED flash,5 MP| f/2.2,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.1| A2DP,Yes with A-GPS,None,FM radio,microUSB 2.0,Fingerprint (rear-mounted)| accelerometer| proximity| compass,Non-removable Li-Ion 3000 mAh battery,White/Silver,170.0,http://cdn2.gsmarena.com/vv/bigpic/zte-blade-x9.jpg
Posh,Titan HD E500,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1700 / 1900 - E500A,None,HSPA 21.1/5.76 Mbps,Yes,Yes,2014  July,Available. Released 2014  September,141.5 x 70.8 x 8 mm (5.57 x 2.79 x 0.31 in),125,4.41,Dual SIM (Mini-SIM/ Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.0 inches (~68.8% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 4.4.2 (KitKat),Octa-core 1.3 GHz Cortex-A7,Mediatek MT6592M,Mali-450MP4,microSD  up to 64 GB,8 GB,None,13 MP| autofocus| LED flash,5 MP,Yes with stereo speakers,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| DLNA| hotspot,4.0| A2DP| EDR,Yes with A-GPS,None,FM radio,microUSB 2.0,Accelerometer| proximity| compass,Li-Po 2100 mAh battery,Black| White| Blue| Pink| Yellow| Orange| Green,None,http://cdn2.gsmarena.com/vv/bigpic/posh-e500.jpg
