name,addr,city,phone,type,cluster_label,is_outlier
mel's drive-in,3355 geary st.,san francisco,415-387-2244,hamburgers,-1,True
boulevard,1 mission st.,san francisco,415-543-6084,american (new),-1,True
tra di noi,3835 cross creek rd.,los angeles,310/456-0169,italian,-1,True
tang pavillion,65 w. 55th st.,new york,212/956-6888,asian,-1,True
water club,500 e. 30th st.,new york,212/683-3333,american,-1,True
palace court,3570 las vegas blvd. s,las vegas,702/731-7547,continental,-1,True
mary mac's tea room,224 ponce de leon ave.,atlanta,404-876-1800,southern/soul,-1,True
cafe bizou,14016 ventura blvd.,sherman oaks,818/788-3536,french,-1,True
van gogh's restaurant & bar,70 w. crossville rd.,roswell,770-993-1156,american (new),-1,True
pamir,1065 1st ave.  at 58th st.,new york,212/644-9258,middle eastern,-1,True
gramercy tavern,42 e. 20th st.,new york city,212-477-0777,american (new),-1,True
izzy's steak & chop house,3345 steiner st.,san francisco,415/563-0487,steak houses,-1,True
big cup,228 8th ave.  between 21st and 22nd sts.,new york,212/206-0059,coffee bar,-1,True
grand cafe hotel monaco,501 geary st.,san francisco,415/292-0101,american,-1,True
steak house  the,2880 las vegas blvd. s.,las vegas,702-734-0410,steakhouses,-1,True
canter's,419 n. fairfax ave.,los angeles,213/651-2030.,american,-1,True
ritz-carlton restaurant and dining room,600 stockton st.,san francisco,415/296-7465,american,-1,True
duane park cafe,157 duane st.  between w. broadway and hudson st.,new york,212/732-5555,american,-1,True
fraunces tavern,54 pearl st. at broad st.,new york,212/269-0144,american,-1,True
virgil's,152 w. 44th st.,new york,212/ 921-9494,american,-1,True
roettelle a. g,126 e. 7th st.  between 1st ave. and ave. a,new york,212/674-4140,continental,-1,True
au mandarin,200-250 vesey st. world financial center,new york,212/385-0313,asian,-1,True
tse yang,34 e. 51st st.,new york,212/688-5447,asian,-1,True
spago (los angeles),8795 sunset blvd.,w. hollywood,310-652-4025,californian,-1,True
stringer's fish camp and oyster bar,3384 shallowford rd.  chamblee,atlanta,770/458-7145,southern,-1,True
pisces,95 ave. a at 6th st.,new york,212/260-6660,seafood,-1,True
cassis,3300 peachtree rd.  grand hyatt,atlanta,404/365-8100,mediterranean,-1,True
carmine's,2450 broadway  between 90th and 91st sts.,new york,212/362-2200,italian,-1,True
arizona,206 206 e. 60th st.,new york,212/838-0440,american,-1,True
caffe dell'artista,46 greenwich ave.,new york,212/645-4431,coffee bar,-1,True
buccaneer bay club,3300 las vegas blvd. s.,las vegas,702-894-7350,continental,-1,True
le chardonnay,8284 melrose ave.,los angeles,213/655-8880,french,-1,True
caffe vivaldi,32 jones st. at bleecker st.,new york,212/691-7538,coffee bar,-1,True
ocean star,145 n. atlantic blvd.,monterey park,818-308-2128,seafood,-1,True
perry's,1944 union st.,san francisco,415/922-9022,american,-1,True
aureole,34 e. 61st st.,new york city,212-319-1660,american (new),-1,True
koo koo roo,8393 w. beverly blvd.,la,213-655-9045,chicken,-1,True
bradshaw's restaurant,2911 s. pharr court,atlanta,404-261-7015,southern/soul,-1,True
benny's burritos,93 ave. a,new york city,212-254-2054,mexican,-1,True
orleans,11705 national blvd.,los angeles,310/479-4187,cajun,-1,True
le select,507 columbus ave.  between 84th and 85th sts.,new york,212/875-1993,american,-1,True
il fornaio levi's plaza,1265 battery st.,san francisco,415/986-0100,italian,-1,True
veselka,144 second ave.,new york city,212-228-9682,ukrainian,-1,True
sammy's roumanian steak house,157 chrystie st. at delancey st.,new york,212/673-0330,east european,-1,True
grill on the alley,9560 dayton way,los angeles,310/276-0615,american,-1,True
sanppo,1702 post st.,san francisco,415/346-3486,asian,-1,True
cafe bianco,1486 2nd ave.  between 77th and 78th sts.,new york,212/988-2655,coffee bar,-1,True
le bernardin,155 w. 51st st.,new york city,212-489-1515,seafood,-1,True
chanterelle,2 harrison st.,new york city,212-966-6960,french (new),-1,True
restaurant horikawa,111 s. san pedro st.,los angeles,213/680-9355,asian,-1,True
9 jones street,9 jones st.,new york,212/989-1220,american,-1,True
maxwell's cafe,13329 washington blvd.,marina del rey,310-306-7829,american,-1,True
osteria al droge,142 w. 44th st.,new york,212/944-3643,italian,-1,True
le central,453 bush st.,san francisco,415/391-2233,french,-1,True
restaurant  ritz-carlton  atlanta,181 peachtree st.,atlanta,404/659-0400,continental,-1,True
battista's hole in the wall,4041 audrie st. at flamingo rd.,las vegas,702/732-1424,italian,-1,True
bally's big kitchen,3645 las vegas blvd. s,las vegas,702/739-4111,buffets,-1,True
rose pistola,532 columbus ave.,san francisco,415-399-0499,italian,-1,True
circus circus,2880 las vegas blvd. s,las vegas,702/734-0410,buffets,-1,True
straits cafe,3300 geary blvd.,san francisco,415/668-1783,asian,-1,True
french roast cafe,2340 broadway at 85th st.,new york,212/799-1533,coffee bar,-1,True
gumbo pot  the,6333 w. third st.,la,213-933-0358,cajun/creole,-1,True
cafe renaissance,7050 jimmy carter blvd.  norcross,atlanta,770/441--0291,american,-1,True
south of france,2345 cheshire bridge rd.,atlanta,404/325-6963,french,-1,True
pano's and paul's,1232 w. paces ferry rd.,atlanta,404/261-3662,international,-1,True
fog city diner,1300 battery st.,san francisco,415/982-2000,american,-1,True
mad fish,2182 broadway  between 77th and 78th sts.,new york,212/787-0202,seafood,-1,True
georgia grille,2290 peachtree rd.,atlanta,404-352-3517,southwestern,-1,True
gladstone's,4 fish 17300 pacific coast hwy. at sunset blvd.,pacific palisades,310/454-3474,american,-1,True
lillie langtry's,129 e. fremont st.,las vegas,702/385-7111,asian,-1,True
windows on the world,107th fl.,new york city,212-524-7000,eclectic,-1,True
island spice,402 w. 44th st.,new york,212/765-1737,tel caribbean,-1,True
river cafe,1 water st.,brooklyn,718-522-5200,american (new),-1,True
the savannah club,2420 broadway at 89th st.,new york,212/496-1066,american,-1,True
sarabeth's kitchen,423 amsterdam ave.  between 80th and 81st sts.,new york,212/496-6280,american,-1,True
petrossian,182 w. 58th st.,new york,212/245-2214,french,-1,True
san domenico,240 central park s,new york,212/265-5959,italian,-1,True
bix,56 gold st.,san francisco,415/433-6300,american,-1,True
march,405 e. 58th st.,new york,212/754-6272,american,-1,True
sofia fabulous pizza,1022 madison ave.  near 79th st.,new york,212/734-2676,italian,-1,True
lutece,249 e. 50th st.,new york city,212-752-2225,french (classic),-1,True
cupcake cafe,522 9th ave. at 39th st.,new york,212/465-1530,coffee bar,-1,True
victor's cafe,52 236 w. 52nd st.,new york,212/586-7714,latin american,-1,True
brookhaven cafe,4274 peachtree rd.,atlanta,404-231-5907,vegetarian,-1,True
greenwood's,1087 green st.,roswell,770-992-5383,southern/soul,-1,True
sa tsu ki,3043 buford hwy.,atlanta,404/325-5285,asian,-1,True
sundown cafe,2165 cheshire bridge rd.,atlanta,404/321-1118,american,-1,True
mesa grill,102 5th ave.  between 15th and 16th sts.,new york,212/807-7400,american,-1,True
chinois on main,2709 main st.,santa monica,310-392-9025,pacific new wave,-1,True
anthonys,3109 piedmont rd.  just south of peachtree rd.,atlanta,404/262-7379,american,-1,True
valentino,3115 pico blvd.,santa monica,310-829-4313,italian,-1,True
valentino,3115 pico blvd.,santa monica,310/829-4313,italian,-1,True
chez jacqueline,72 macdougal st.  between w. houston and bleecker sts.,new york,212/505-0727,french,-1,True
heera of india,595 piedmont ave.,atlanta,404-876-4408,indian,-1,True
szechuan hunan cottage,1588 york ave.,new york city,212-535-5223,chinese,-1,True
nickiemoto's: a sushi bar,247 buckhead ave.  east village sq.,atlanta,404/842-0334,fusion,-1,True
cafe blanc,9777 little santa monica blvd.,beverly hills,310-888-0108,pacific new wave,-1,True
rubicon,558 sacramento st.,san francisco,415/434-4100,american,-1,True
cafe  ritz-carlton  buckhead,3434 peachtree rd.,atlanta,404/237-2700,ext 6108 international,-1,True
nava,3060 peachtree rd.,atlanta,404-240-1984,southwestern,-1,True
california culinary academy,625 polk st.,san francisco,415/771-3500,french,-1,True
pano's & paul's,1232 w. paces ferry rd.,atlanta,404-261-3662,american (new),-1,True
hayes street grill,320 hayes st.,san francisco,415/863-5545,seafood,-1,True
michael's (los angeles),1147 third st.,santa monica,310-451-0843,californian,-1,True
jack's,615 sacramento st.,san francisco,415/986-9854,old san francisco,-1,True
le dome,8720 sunset blvd.,los angeles,310/659-6919,french,-1,True
les halles,411 park ave. s  between 28th and 29th sts.,new york,212/679-4111,french,-1,True
corrado cafe,1013 3rd ave.  between 60th and 61st sts.,new york,212/753-5100,coffee bar,-1,True
antonio's,3700 w. flamingo,las vegas,702/252-7737,italian,-1,True
fenix at the argyle,8358 sunset blvd.,w. hollywood,213-848-6677,french (new),-1,True
art's deli,12224 ventura blvd.,studio city,818-762-1221,delis,-1,True
inca grill,492 broome st.  near w. broadway,new york,212/966-3371,latin american,-1,True
le colonial,8783 beverly blvd.,los angeles,310/289-0660,asian,-1,True
harbor village,4 embarcadero center,san francisco,415/781-8833,asian,-1,True
planet hollywood,140 w. 57th st.,new york,212/333-7827,american,-1,True
ipanema,13 w. 46th st.,new york,212/730-5848,latin american,-1,True
rose pistola,532 columbus ave.,san francisco,415/399-0499,italian,-1,True
eats,600 ponce de leon ave.,atlanta,404-888-9149,italian,-1,True
monkey bar,60 e. 54th st.,new york,212/838-2600,american,-1,True
alon's at the terrace,659 peachtree st.,atlanta,404-724-0444,sandwiches,-1,True
caffe bondi ristorante,7 w. 20th st.,new york,212/691-8136,italian,-1,True
la grotta at ravinia dunwoody rd.,holiday inn/crowne plaza at ravinia  dunwoody,atlanta,770/395-9925,italian,-1,True
campanile,624 s. la brea ave.,los angeles,213-938-1447,californian,-1,True
hard rock cafe,8600 beverly blvd.,los angeles,310/276-7605,american,-1,True
l'orangerie,903 n. la cienega blvd.,los angeles,310/652-9770,french,-1,True
fishin eddie,73 w. 71st st.,new york,212/874-3474,seafood,-1,True
ritz-carlton dining room (san francisco),600 stockton st.,san francisco,415-296-7465,french (new),-1,True
garden court,market and new montgomery sts.,san francisco,415/546-5011,old san francisco,-1,True
one if by land  tibs,17 barrow st.,new york city,212-228-0822,continental,-1,True
la taqueria,2889 mission st.,san francisco,415-285-7117,mexican,-1,True
imperial fez,2285 peachtree rd.  peachtree battle condominium,atlanta,404/351-0870,mediterranean,-1,True
dix et sept,181 w. 10th st.,new york,212/645-8023,french,-1,True
ej's luncheonette,432 sixth ave.,new york city,212-473-5555,diners,-1,True
fringale,570 fourth st.,san francisco,415-543-0573,french bistro,-1,True
chan dara,310 n. larchmont blvd.,los angeles,213/467-1052,asian,-1,True
march,405 e. 58th st.,new york city,212-754-6272,american (new),-1,True
s.p.q.r,133 mulberry st.  between hester and grand sts.,new york,212/925-3120,italian,-1,True
mani's bakery & espresso bar,519 s. fairfax ave.,la,213-938-8800,desserts,-1,True
bugsy's diner,3555 las vegas blvd. s,las vegas,702/733-3111,coffee shops/diners,-1,True
20 mott,20 mott st.  between bowery and pell st.,new york,212/964-0380,asian,-1,True
toulouse,b peachtree rd.,atlanta,404/351-9533,french,-1,True
pink's famous chili dogs,709 n. la brea ave.,la,213-931-4223,hot dogs,-1,True
verbena,54 irving pl. at 17th st.,new york,212/260-5454,american,-1,True
bone's restaurant,3130 piedmont rd. ne,atlanta,404-237-2663,steakhouses,-1,True
island spice,402 w. 44th st.,new york city,212-765-1737,caribbean,-1,True
des alpes,732 broadway,san francisco,415/788-9900,french,-1,True
tomtom,3393 peachtree rd.,atlanta,404/264-1163,continental,-1,True
tavola calda,7371 melrose ave.,los angeles,213/658-6340,italian,-1,True
four seasons grill room,99 e. 52nd st.,new york,212/754-9494,american,-1,True
center stage plaza hotel,1 main st.,las vegas,702/386-2512,american,-1,True
alain rondelli,126 clement st.,san francisco,415/387-0408,french,-1,True
remi,3rd st. promenade,santa monica,310/393-6545,italian,-1,True
zarzuela,2000 hyde st.,san francisco,415/346-0800,mexican/latin american/spanish,-1,True
bertolini's,3570 las vegas blvd. s,las vegas,702/735-4663,italian,-1,True
cha cha cha,656 n. virgil ave.,los angeles,213/664-7723,caribbean,-1,True
lutece,249 e. 50th st.,new york,212/752-2225,french,-1,True
la grenouille,3 e. 52nd st.,new york city,212-752-1495,french (classic),-1,True
second avenue deli,156 second ave.,new york city,212-677-0606,delis,-1,True
smith & wollensky,797 third ave.,new york city,212-753-1530,steakhouses,-1,True
