name,addr,city,phone,type,cluster_label,is_outlier
arnie morton's of chicago,435 s. la cienega blv.,los angeles,310/246-1501,american,0,False
arnie morton's of chicago,435 s. la cienega blvd.,los angeles,310-246-1501,steakhouses,0,False
art's delicatessen,12224 ventura blvd.,studio city,818/762-1221,american,1,False
art's deli,12224 ventura blvd.,studio city,818-762-1221,delis,1,False
hotel bel-air,701 stone canyon rd.,bel air,310/472-1211,californian,2,False
bel-air hotel,701 stone canyon rd.,bel air,310-472-1211,californian,2,False
cafe bizou,14016 ventura blvd.,sherman oaks,818/788-3536,french,3,False
cafe bizou,14016 ventura blvd.,sherman oaks,818-788-3536,french bistro,3,False
campanile,624 s. la brea ave.,los angeles,213/938-1447,american,0,False
campanile,624 s. la brea ave.,los angeles,213-938-1447,californian,0,False
chinois on main,2709 main st.,santa monica,310/392-9025,french,4,False
chinois on main,2709 main st.,santa monica,310-392-9025,pacific new wave,4,False
citrus,6703 melrose ave.,los angeles,213/857-0034,californian,0,False
citrus,6703 melrose ave.,los angeles,213-857-0034,californian,0,False
fenix,8358 sunset blvd. west,hollywood,213/848-6677,american,-1,True
fenix at the argyle,8358 sunset blvd.,w. hollywood,213-848-6677,french (new),-1,True
granita,23725 w. malibu rd.,malibu,310/456-0488,californian,5,False
granita,23725 w. malibu rd.,malibu,310-456-0488,californian,5,False
grill on the alley,9560 dayton way,los angeles,310/276-0615,american,0,False
grill  the,9560 dayton way,beverly hills,310-276-0615,american (traditional),-1,True
restaurant katsu,1972 n. hillhurst ave.,los angeles,213/665-1891,asian,6,False
katsu,1972 hillhurst ave.,los feliz,213-665-1891,japanese,-1,True
l'orangerie,903 n. la cienega blvd.,los angeles,310/652-9770,french,7,False
l'orangerie,903 n. la cienega blvd.,w. hollywood,310-652-9770,french (classic),7,False
le chardonnay,8284 melrose ave.,los angeles,213/655-8880,french,7,False
le chardonnay (los angeles),8284 melrose ave.,los angeles,213-655-8880,french bistro,7,False
locanda veneta,3rd st.,los angeles,310/274-1893,italian,8,False
locanda veneta,8638 w. third st.,los angeles,310-274-1893,italian,8,False
matsuhisa,129 n. la cienega blvd.,beverly hills,310/659-9639,asian,9,False
matsuhisa,129 n. la cienega blvd.,beverly hills,310-659-9639,seafood,9,False
the palm,9001 santa monica blvd.,los angeles,310/550-8811,american,0,False
palm  the (los angeles),9001 santa monica blvd.,w. hollywood,310-550-8811,steakhouses,-1,True
patina,5955 melrose ave.,los angeles,213/467-1108,californian,0,False
patina,5955 melrose ave.,los angeles,213-467-1108,californian,0,False
