restaurant_name,cuisine,area,rating,cost_for_two,online_order,book_table,votes,phone,address,cluster_label,is_outlier
Thai Paradise,Korean,JP Nagar,4.1,500,No,Yes,1075,8472335344,4 BTM Layout Bangalore,-1,True
Bakery Sweet,Chinese,HSR Layout,3.1,2000,Yes,No,927,7874531400,47 BTM Layout Bangalore,-1,True
Steak House,Chinese,Electronic City,3.2,500,No,Yes,3407,343514545,22 Indiranagar Bangalore,-1,True
Coffee Corner,Korean,Koramangala,4.3,2000,Yes,Yes,181,7165978743,36 HSR Layout Bangalore,-1,True
Mediterranean Delight,Fast Food,Electronic City,3.8,1000,Yes,No,2702,2986022513,22 MG Road Bangalore,0,False
Thai Paradise,Italian,Whitefield,4.1,1000,Yes,Yes,1042,1433334150,19 Brigade Road Bangalore,-1,True
Ice Cream Parlor,Korean,Whitefield,3.5,700,Yes,Yes,1120,9121272907,73 Brigade Road Bangalore,-1,True
Coffee Corner,Japanese,JP Nagar,4.3,500,Yes,Yes,1809,7634955637,11 Electronic City Bangalore,-1,True
Coffee Corner,Mexican,MG Road,3.5,2000,No,Yes,2646,1850079962,72 Indiranagar Bangalore,-1,True
Burger Palace,Chinese,MG Road,3.9,500,No,Yes,3149,7764740766,65 Brigade Road Bangalore,-1,True
Mediterranean Delight,Mediterranean,MG Road,4.0,2000,Yes,Yes,2999,1229552486,86 MG Road Bangalore,-1,True
Italian Bistro,Continental,BTM Layout,3.4,500,Yes,No,951,8199015967,66 Koramangala Bangalore,-1,True
Golden Dragon,Korean,Marathahalli,4.8,700,Yes,No,3534,5528142015,15 Koramangala Bangalore,1,False
Pizza Express,Chinese,Electronic City,4.1,2000,Yes,Yes,4487,9019409344,29 Electronic City Bangalore,-1,True
Mexican Fiesta,Mexican,Whitefield,4.7,500,No,No,115,4988457653,15 Indiranagar Bangalore,-1,True
Golden Dragon,Mexican,Koramangala,3.5,1500,No,Yes,4752,2327550471,82 BTM Layout Bangalore,-1,True
Spice Garden,Mediterranean,Koramangala,3.3,1000,Yes,Yes,3814,2839464165,74 BTM Layout Bangalore,-1,True
Pizza Express,French,Koramangala,3.0,1000,Yes,Yes,3191,8117907409,55 HSR Layout Bangalore,-1,True
Pizza Express,Fast Food,MG Road,3.2,2000,Yes,No,2843,591100343,83 JP Nagar Bangalore,-1,True
Taco Bell,Japanese,JP Nagar,3.3,1000,No,No,3382,5710195361,59 Brigade Road Bangalore,-1,True
Vegan Heaven,Korean,MG Road,3.2,1000,Yes,No,2629,485500312,61 HSR Layout Bangalore,-1,True
Seafood Shack,Indian,Whitefield,4.8,1500,No,Yes,1469,5909135289,74 HSR Layout Bangalore,-1,True
Steak House,Korean,Electronic City,4.8,300,No,No,4503,3645885181,57 Koramangala Bangalore,-1,True
Steak House,French,Electronic City,4.9,500,Yes,No,1465,1163770031,91 Brigade Road Bangalore,-1,True
Ice Cream Parlor,Thai,JP Nagar,4.9,2000,No,Yes,425,2919856504,22 BTM Layout Bangalore,-1,True
Pizza Express,American,Marathahalli,4.0,1000,Yes,No,227,2976801107,30 Electronic City Bangalore,-1,True
Bakery Sweet,Italian,BTM Layout,4.1,500,No,No,284,3690779284,25 Marathahalli Bangalore,-1,True
Italian Bistro,French,Koramangala,3.3,500,Yes,No,2962,4409101884,79 JP Nagar Bangalore,-1,True
Sushi House,Continental,Electronic City,3.3,1500,Yes,No,811,3158793589,67 Electronic City Bangalore,-1,True
Ice Cream Parlor,Mexican,JP Nagar,4.5,500,Yes,Yes,3928,9387284074,9 Electronic City Bangalore,-1,True
Thai Paradise,Fast Food,Koramangala,4.7,1000,Yes,Yes,1332,4185926161,34 MG Road Bangalore,-1,True
BBQ Junction,Indian,MG Road,4.6,2000,Yes,Yes,1313,4998852338,97 Marathahalli Bangalore,-1,True
Thai Paradise,Italian,Brigade Road,4.7,500,Yes,Yes,3624,3345704893,64 Whitefield Bangalore,-1,True
Fried Chicken Co,Chinese,HSR Layout,3.6,1500,No,Yes,3663,7807749164,23 Brigade Road Bangalore,2,False
Burger Palace,Continental,Electronic City,3.9,2000,No,Yes,4496,4597026891,10 Koramangala Bangalore,-1,True
Curry House,Korean,Marathahalli,3.9,2000,Yes,No,4686,3364461754,98 JP Nagar Bangalore,-1,True
Fried Chicken Co,Italian,JP Nagar,5.0,2000,No,Yes,3433,155850627,46 BTM Layout Bangalore,-1,True
BBQ Junction,Chinese,BTM Layout,4.9,1000,Yes,Yes,3059,5227512563,51 Marathahalli Bangalore,-1,True
Golden Dragon,American,Marathahalli,4.2,1500,No,No,1672,7256734508,62 JP Nagar Bangalore,-1,True
Bakery Sweet,Chinese,MG Road,3.3,700,No,No,2928,2163398680,39 Electronic City Bangalore,-1,True
Steak House,Indian,Electronic City,3.5,300,Yes,Yes,79,2995043364,65 Indiranagar Bangalore,3,False
Thai Paradise,Mexican,Whitefield,3.7,500,Yes,No,358,6087691532,72 Koramangala Bangalore,-1,True
Pizza Express,French,MG Road,4.7,500,No,No,1559,7324892839,78 HSR Layout Bangalore,-1,True
Mediterranean Delight,Mediterranean,BTM Layout,3.3,500,No,Yes,2143,3173220744,67 Indiranagar Bangalore,-1,True
Steak House,French,MG Road,3.4,700,No,No,3480,3448587215,76 MG Road Bangalore,-1,True
Italian Bistro,French,JP Nagar,3.7,2000,No,No,186,1220478647,78 Whitefield Bangalore,-1,True
Curry House,Chinese,Marathahalli,4.9,2000,No,Yes,824,8881214281,53 JP Nagar Bangalore,-1,True
Taco Bell,Korean,JP Nagar,4.0,300,No,Yes,1648,4440961180,43 Whitefield Bangalore,4,False
Burger Palace,Italian,Koramangala,4.3,1500,Yes,No,1504,8544456813,18 Koramangala Bangalore,-1,True
Fried Chicken Co,Mediterranean,Brigade Road,3.8,700,No,No,2653,4562288133,34 Electronic City Bangalore,-1,True
Mediterranean Delight,Fast Food,Marathahalli,3.4,700,Yes,Yes,2530,4132530272,9 Whitefield Bangalore,-1,True
Burger Palace,Mediterranean,Brigade Road,3.4,1000,No,Yes,896,6146007132,2 Brigade Road Bangalore,-1,True
Golden Dragon,Italian,JP Nagar,4.6,2000,Yes,No,256,4157464589,15 Indiranagar Bangalore,-1,True
Mexican Fiesta,Italian,Whitefield,4.8,700,Yes,No,2543,982923703,9 Indiranagar Bangalore,-1,True
Vegan Heaven,Fast Food,Electronic City,4.0,700,Yes,Yes,3180,6264987236,60 BTM Layout Bangalore,-1,True
Burger Palace,Mexican,BTM Layout,3.7,500,Yes,Yes,1279,1958855595,11 MG Road Bangalore,-1,True
Fried Chicken Co,Indian,MG Road,4.6,2000,No,Yes,4741,2359006049,61 HSR Layout Bangalore,-1,True
Pizza Express,American,MG Road,4.3,1000,Yes,No,2846,7521138804,62 MG Road Bangalore,-1,True
Golden Dragon,Indian,Brigade Road,3.1,1500,Yes,Yes,3279,8365396616,21 Indiranagar Bangalore,-1,True
Vegan Heaven,Italian,BTM Layout,3.7,300,No,Yes,1177,8555155818,65 Whitefield Bangalore,-1,True
Burger Palace,Korean,Marathahalli,4.4,1500,No,Yes,4997,4899141466,20 Brigade Road Bangalore,-1,True
Curry House,Japanese,Electronic City,4.1,1000,No,No,4700,6465641812,90 Koramangala Bangalore,-1,True
Seafood Shack,Fast Food,HSR Layout,5.0,500,Yes,No,1252,8172589928,73 JP Nagar Bangalore,-1,True
Steak House,Japanese,Brigade Road,4.7,300,No,No,2455,6475629526,80 Brigade Road Bangalore,-1,True
Mediterranean Delight,Continental,Marathahalli,3.1,1500,Yes,Yes,1337,9597751995,51 JP Nagar Bangalore,-1,True
Curry House,American,Marathahalli,4.5,2000,Yes,Yes,4900,555836271,90 JP Nagar Bangalore,-1,True
