name,addr,city,phone,type
mel's drive-in,3355 geary st.,san francisco,415-387-2244,hamburgers
boulevard,1 mission st.,san francisco,415-543-6084,american (new)
tra di noi,3835 cross creek rd.,los angeles,310/456-0169,italian
tang pavillion,65 w. 55th st.,new york,212/956-6888,asian
water club,500 e. 30th st.,new york,212/683-3333,american
palace court,3570 las vegas blvd. s,las vegas,702/731-7547,continental
mary mac's tea room,224 ponce de leon ave.,atlanta,404-876-1800,southern/soul
cafe bizou,14016 ventura blvd.,sherman oaks,818/788-3536,french
van gogh's restaurant & bar,70 w. crossville rd.,roswell,770-993-1156,american (new)
pamir,1065 1st ave.  at 58th st.,new york,212/644-9258,middle eastern
gramercy tavern,42 e. 20th st.,new york city,212-477-0777,american (new)
izzy's steak & chop house,3345 steiner st.,san francisco,415/563-0487,steak houses
big cup,228 8th ave.  between 21st and 22nd sts.,new york,212/206-0059,coffee bar
grand cafe hotel monaco,501 geary st.,san francisco,415/292-0101,american
steak house  the,2880 las vegas blvd. s.,las vegas,702-734-0410,steakhouses
canter's,419 n. fairfax ave.,los angeles,213/651-2030.,american
ritz-carlton restaurant and dining room,600 stockton st.,san francisco,415/296-7465,american
duane park cafe,157 duane st.  between w. broadway and hudson st.,new york,212/732-5555,american
fraunces tavern,54 pearl st. at broad st.,new york,212/269-0144,american
virgil's,152 w. 44th st.,new york,212/ 921-9494,american
roettelle a. g,126 e. 7th st.  between 1st ave. and ave. a,new york,212/674-4140,continental
au mandarin,200-250 vesey st. world financial center,new york,212/385-0313,asian
tse yang,34 e. 51st st.,new york,212/688-5447,asian
spago (los angeles),8795 sunset blvd.,w. hollywood,310-652-4025,californian
stringer's fish camp and oyster bar,3384 shallowford rd.  chamblee,atlanta,770/458-7145,southern
pisces,95 ave. a at 6th st.,new york,212/260-6660,seafood
cassis,3300 peachtree rd.  grand hyatt,atlanta,404/365-8100,mediterranean
carmine's,2450 broadway  between 90th and 91st sts.,new york,212/362-2200,italian
arizona,206 206 e. 60th st.,new york,212/838-0440,american
caffe dell'artista,46 greenwich ave.,new york,212/645-4431,coffee bar
buccaneer bay club,3300 las vegas blvd. s.,las vegas,702-894-7350,continental
le chardonnay,8284 melrose ave.,los angeles,213/655-8880,french
caffe vivaldi,32 jones st. at bleecker st.,new york,212/691-7538,coffee bar
ocean star,145 n. atlantic blvd.,monterey park,818-308-2128,seafood
perry's,1944 union st.,san francisco,415/922-9022,american
aureole,34 e. 61st st.,new york city,212-319-1660,american (new)
koo koo roo,8393 w. beverly blvd.,la,213-655-9045,chicken
bradshaw's restaurant,2911 s. pharr court,atlanta,404-261-7015,southern/soul
benny's burritos,93 ave. a,new york city,212-254-2054,mexican
orleans,11705 national blvd.,los angeles,310/479-4187,cajun
le select,507 columbus ave.  between 84th and 85th sts.,new york,212/875-1993,american
il fornaio levi's plaza,1265 battery st.,san francisco,415/986-0100,italian
veselka,144 second ave.,new york city,212-228-9682,ukrainian
sammy's roumanian steak house,157 chrystie st. at delancey st.,new york,212/673-0330,east european
grill on the alley,9560 dayton way,los angeles,310/276-0615,american
sanppo,1702 post st.,san francisco,415/346-3486,asian
cafe bianco,1486 2nd ave.  between 77th and 78th sts.,new york,212/988-2655,coffee bar
le bernardin,155 w. 51st st.,new york city,212-489-1515,seafood
chanterelle,2 harrison st.,new york city,212-966-6960,french (new)
restaurant horikawa,111 s. san pedro st.,los angeles,213/680-9355,asian
9 jones street,9 jones st.,new york,212/989-1220,american
maxwell's cafe,13329 washington blvd.,marina del rey,310-306-7829,american
osteria al droge,142 w. 44th st.,new york,212/944-3643,italian
le central,453 bush st.,san francisco,415/391-2233,french
restaurant  ritz-carlton  atlanta,181 peachtree st.,atlanta,404/659-0400,continental
battista's hole in the wall,4041 audrie st. at flamingo rd.,las vegas,702/732-1424,italian
bally's big kitchen,3645 las vegas blvd. s,las vegas,702/739-4111,buffets
rose pistola,532 columbus ave.,san francisco,415-399-0499,italian
circus circus,2880 las vegas blvd. s,las vegas,702/734-0410,buffets
straits cafe,3300 geary blvd.,san francisco,415/668-1783,asian
french roast cafe,2340 broadway at 85th st.,new york,212/799-1533,coffee bar
gumbo pot  the,6333 w. third st.,la,213-933-0358,cajun/creole
cafe renaissance,7050 jimmy carter blvd.  norcross,atlanta,770/441--0291,american
south of france,2345 cheshire bridge rd.,atlanta,404/325-6963,french
pano's and paul's,1232 w. paces ferry rd.,atlanta,404/261-3662,international
fog city diner,1300 battery st.,san francisco,415/982-2000,american
mad fish,2182 broadway  between 77th and 78th sts.,new york,212/787-0202,seafood
georgia grille,2290 peachtree rd.,atlanta,404-352-3517,southwestern
gladstone's,4 fish 17300 pacific coast hwy. at sunset blvd.,pacific palisades,310/454-3474,american
lillie langtry's,129 e. fremont st.,las vegas,702/385-7111,asian
windows on the world,107th fl.,new york city,212-524-7000,eclectic
island spice,402 w. 44th st.,new york,212/765-1737,tel caribbean
river cafe,1 water st.,brooklyn,718-522-5200,american (new)
the savannah club,2420 broadway at 89th st.,new york,212/496-1066,american
sarabeth's kitchen,423 amsterdam ave.  between 80th and 81st sts.,new york,212/496-6280,american
petrossian,182 w. 58th st.,new york,212/245-2214,french
san domenico,240 central park s,new york,212/265-5959,italian
bix,56 gold st.,san francisco,415/433-6300,american
march,405 e. 58th st.,new york,212/754-6272,american
sofia fabulous pizza,1022 madison ave.  near 79th st.,new york,212/734-2676,italian
lutece,249 e. 50th st.,new york city,212-752-2225,french (classic)
cupcake cafe,522 9th ave. at 39th st.,new york,212/465-1530,coffee bar
victor's cafe,52 236 w. 52nd st.,new york,212/586-7714,latin american
brookhaven cafe,4274 peachtree rd.,atlanta,404-231-5907,vegetarian
greenwood's,1087 green st.,roswell,770-992-5383,southern/soul
sa tsu ki,3043 buford hwy.,atlanta,404/325-5285,asian
sundown cafe,2165 cheshire bridge rd.,atlanta,404/321-1118,american
mesa grill,102 5th ave.  between 15th and 16th sts.,new york,212/807-7400,american
chinois on main,2709 main st.,santa monica,310-392-9025,pacific new wave
anthonys,3109 piedmont rd.  just south of peachtree rd.,atlanta,404/262-7379,american
valentino,3115 pico blvd.,santa monica,310-829-4313,italian
valentino,3115 pico blvd.,santa monica,310/829-4313,italian
chez jacqueline,72 macdougal st.  between w. houston and bleecker sts.,new york,212/505-0727,french
heera of india,595 piedmont ave.,atlanta,404-876-4408,indian
szechuan hunan cottage,1588 york ave.,new york city,212-535-5223,chinese
nickiemoto's: a sushi bar,247 buckhead ave.  east village sq.,atlanta,404/842-0334,fusion
cafe blanc,9777 little santa monica blvd.,beverly hills,310-888-0108,pacific new wave
rubicon,558 sacramento st.,san francisco,415/434-4100,american
cafe  ritz-carlton  buckhead,3434 peachtree rd.,atlanta,404/237-2700,ext 6108 international
nava,3060 peachtree rd.,atlanta,404-240-1984,southwestern
california culinary academy,625 polk st.,san francisco,415/771-3500,french
pano's & paul's,1232 w. paces ferry rd.,atlanta,404-261-3662,american (new)
hayes street grill,320 hayes st.,san francisco,415/863-5545,seafood
michael's (los angeles),1147 third st.,santa monica,310-451-0843,californian
jack's,615 sacramento st.,san francisco,415/986-9854,old san francisco
le dome,8720 sunset blvd.,los angeles,310/659-6919,french
les halles,411 park ave. s  between 28th and 29th sts.,new york,212/679-4111,french
corrado cafe,1013 3rd ave.  between 60th and 61st sts.,new york,212/753-5100,coffee bar
antonio's,3700 w. flamingo,las vegas,702/252-7737,italian
