restaurant_name,cuisine,area,rating,cost_for_two,online_order,book_table,votes,phone,address
BBQ Junction,Mediterranean,Whitefield,3.9,2000,No,No,485,4200800201,97 Koramangala Bangalore
Burger Palace,Chinese,HSR Layout,4.1,700,No,Yes,1604,5297931100,29 Brigade Road Bangalore
Ice Cream Parlor,French,MG Road,4.0,300,Yes,No,3796,949348072,70 Whitefield Bangalore
Steak House,Japanese,BTM Layout,4.9,1500,No,No,3192,733309916,47 MG Road Bangalore
Seafood Shack,Indian,Electronic City,4.0,300,No,Yes,3728,9123785794,79 Electronic City Bangalore
Burger Palace,Korean,Indiranagar,4.3,1500,Yes,No,2753,1771806177,25 Whitefield Bangalore
Mexican Fiesta,Continental,Indiranagar,4.4,1000,Yes,No,3326,5481846617,31 HSR Layout Bangalore
Coffee Corner,Italian,BTM Layout,4.6,500,No,No,506,8079557085,1 JP Nagar Bangalore
Taco Bell,Korean,BTM Layout,4.8,300,No,Yes,641,7442193067,8 Koramangala Bangalore
Mexican Fiesta,Fast Food,Marathahalli,3.5,700,Yes,No,3882,8235296744,94 Electronic City Bangalore
Spice Garden,Fast Food,HSR Layout,3.8,700,No,Yes,2139,1089146159,65 Indiranagar Bangalore
Pizza Express,French,Electronic City,4.7,500,No,Yes,4325,3891935594,9 HSR Layout Bangalore
Spice Garden,American,HSR Layout,3.9,700,Yes,Yes,2119,5767615339,59 Whitefield Bangalore
Vegan Heaven,Indian,Electronic City,4.8,1000,Yes,Yes,2107,6062500051,2 JP Nagar Bangalore
BBQ Junction,Continental,Brigade Road,4.5,2000,Yes,Yes,1523,1656924287,28 Electronic City Bangalore
Mediterranean Delight,Fast Food,Indiranagar,4.1,300,No,Yes,4279,9337727761,8 Marathahalli Bangalore
Spice Garden,Mexican,Koramangala,4.0,300,Yes,Yes,4377,3282955447,54 MG Road Bangalore
BBQ Junction,Mexican,Indiranagar,4.1,300,Yes,Yes,4521,7260481231,74 Electronic City Bangalore
Mexican Fiesta,Japanese,Indiranagar,4.9,300,Yes,No,2789,489952875,25 Whitefield Bangalore
Spice Garden,Japanese,Brigade Road,3.4,1500,Yes,Yes,2502,7673722000,4 Koramangala Bangalore
